kind,model,n_runs,mean_ret_mean,ann_sharpe_mean,maxdd_mean,worst5_mean,seed
model,Action Admission Base,1,0.041234,3.108282,-0.554269,-0.097028,
model,CAMP SPD-Geometric PPO,1,0.040063,3.442246,-0.302713,-0.076423,
random_top30_seed,Random Top30 seed 202600,1,0.011799,2.499544,-0.56966,-0.057943,202600.0
random_top30_seed,Random Top30 seed 202601,1,0.011799,2.499544,-0.56966,-0.057943,202601.0
random_top30_seed,Random Top30 seed 202602,1,0.011799,2.499544,-0.56966,-0.057943,202602.0
random_top30_seed,Random Top30 seed 202603,1,0.011799,2.499544,-0.56966,-0.057943,202603.0
random_top30_seed,Random Top30 seed 202604,1,0.011799,2.499544,-0.56966,-0.057943,202604.0
random_top30_seed,Random Top30 seed 202605,1,0.011799,2.499544,-0.56966,-0.057943,202605.0
random_top30_seed,Random Top30 seed 202606,1,0.011799,2.499544,-0.56966,-0.057943,202606.0
random_top30_seed,Random Top30 seed 202607,1,0.011799,2.499544,-0.56966,-0.057943,202607.0
random_top30_seed,Random Top30 seed 202608,1,0.011799,2.499544,-0.56966,-0.057943,202608.0
random_top30_seed,Random Top30 seed 202609,1,0.011799,2.499544,-0.56966,-0.057943,202609.0
random_top30_seed,Random Top30 seed 202610,1,0.011799,2.499544,-0.56966,-0.057943,202610.0
random_top30_seed,Random Top30 seed 202611,1,0.011799,2.499544,-0.56966,-0.057943,202611.0
random_top30_seed,Random Top30 seed 202612,1,0.011799,2.499544,-0.56966,-0.057943,202612.0
random_top30_seed,Random Top30 seed 202613,1,0.011799,2.499544,-0.56966,-0.057943,202613.0
random_top30_seed,Random Top30 seed 202614,1,0.011799,2.499544,-0.56966,-0.057943,202614.0
random_top30_seed,Random Top30 seed 202615,1,0.011799,2.499544,-0.56966,-0.057943,202615.0
random_top30_seed,Random Top30 seed 202616,1,0.011799,2.499544,-0.56966,-0.057943,202616.0
random_top30_seed,Random Top30 seed 202617,1,0.011799,2.499544,-0.56966,-0.057943,202617.0
random_top30_seed,Random Top30 seed 202618,1,0.011799,2.499544,-0.56966,-0.057943,202618.0
random_top30_seed,Random Top30 seed 202619,1,0.011799,2.499544,-0.56966,-0.057943,202619.0
random_top30_seed,Random Top30 seed 202620,1,0.011799,2.499544,-0.56966,-0.057943,202620.0
random_top30_seed,Random Top30 seed 202621,1,0.011799,2.499544,-0.56966,-0.057943,202621.0
random_top30_seed,Random Top30 seed 202622,1,0.011799,2.499544,-0.56966,-0.057943,202622.0
random_top30_seed,Random Top30 seed 202623,1,0.011799,2.499544,-0.56966,-0.057943,202623.0
random_top30_seed,Random Top30 seed 202624,1,0.011799,2.499544,-0.56966,-0.057943,202624.0
random_top30_seed,Random Top30 seed 202625,1,0.011799,2.499544,-0.56966,-0.057943,202625.0
random_top30_seed,Random Top30 seed 202626,1,0.011799,2.499544,-0.56966,-0.057943,202626.0
random_top30_seed,Random Top30 seed 202627,1,0.011799,2.499544,-0.56966,-0.057943,202627.0
random_top30_seed,Random Top30 seed 202628,1,0.011799,2.499544,-0.56966,-0.057943,202628.0
random_top30_seed,Random Top30 seed 202629,1,0.011799,2.499544,-0.56966,-0.057943,202629.0
random_top30_seed,Random Top30 seed 202630,1,0.011799,2.499544,-0.56966,-0.057943,202630.0
random_top30_seed,Random Top30 seed 202631,1,0.011799,2.499544,-0.56966,-0.057943,202631.0
random_top30_seed,Random Top30 seed 202632,1,0.011799,2.499544,-0.56966,-0.057943,202632.0
random_top30_seed,Random Top30 seed 202633,1,0.011799,2.499544,-0.56966,-0.057943,202633.0
random_top30_seed,Random Top30 seed 202634,1,0.011799,2.499544,-0.56966,-0.057943,202634.0
random_top30_seed,Random Top30 seed 202635,1,0.011799,2.499544,-0.56966,-0.057943,202635.0
random_top30_seed,Random Top30 seed 202636,1,0.011799,2.499544,-0.56966,-0.057943,202636.0
random_top30_seed,Random Top30 seed 202637,1,0.011799,2.499544,-0.56966,-0.057943,202637.0
random_top30_seed,Random Top30 seed 202638,1,0.011799,2.499544,-0.56966,-0.057943,202638.0
random_top30_seed,Random Top30 seed 202639,1,0.011799,2.499544,-0.56966,-0.057943,202639.0
random_top30_seed,Random Top30 seed 202640,1,0.011799,2.499544,-0.56966,-0.057943,202640.0
random_top30_seed,Random Top30 seed 202641,1,0.011799,2.499544,-0.56966,-0.057943,202641.0
random_top30_seed,Random Top30 seed 202642,1,0.011799,2.499544,-0.56966,-0.057943,202642.0
random_top30_seed,Random Top30 seed 202643,1,0.011799,2.499544,-0.56966,-0.057943,202643.0
random_top30_seed,Random Top30 seed 202644,1,0.011799,2.499544,-0.56966,-0.057943,202644.0
random_top30_seed,Random Top30 seed 202645,1,0.011799,2.499544,-0.56966,-0.057943,202645.0
random_top30_seed,Random Top30 seed 202646,1,0.011799,2.499544,-0.56966,-0.057943,202646.0
random_top30_seed,Random Top30 seed 202647,1,0.011799,2.499544,-0.56966,-0.057943,202647.0
random_top30_seed,Random Top30 seed 202648,1,0.011799,2.499544,-0.56966,-0.057943,202648.0
random_top30_seed,Random Top30 seed 202649,1,0.011799,2.499544,-0.56966,-0.057943,202649.0
random_top30_seed,Random Top30 seed 202650,1,0.011799,2.499544,-0.56966,-0.057943,202650.0
random_top30_seed,Random Top30 seed 202651,1,0.011799,2.499544,-0.56966,-0.057943,202651.0
random_top30_seed,Random Top30 seed 202652,1,0.011799,2.499544,-0.56966,-0.057943,202652.0
random_top30_seed,Random Top30 seed 202653,1,0.011799,2.499544,-0.56966,-0.057943,202653.0
random_top30_seed,Random Top30 seed 202654,1,0.011799,2.499544,-0.56966,-0.057943,202654.0
random_top30_seed,Random Top30 seed 202655,1,0.011799,2.499544,-0.56966,-0.057943,202655.0
random_top30_seed,Random Top30 seed 202656,1,0.011799,2.499544,-0.56966,-0.057943,202656.0
random_top30_seed,Random Top30 seed 202657,1,0.011799,2.499544,-0.56966,-0.057943,202657.0
random_top30_seed,Random Top30 seed 202658,1,0.011799,2.499544,-0.56966,-0.057943,202658.0
random_top30_seed,Random Top30 seed 202659,1,0.011799,2.499544,-0.56966,-0.057943,202659.0
random_top30_seed,Random Top30 seed 202660,1,0.011799,2.499544,-0.56966,-0.057943,202660.0
random_top30_seed,Random Top30 seed 202661,1,0.011799,2.499544,-0.56966,-0.057943,202661.0
random_top30_seed,Random Top30 seed 202662,1,0.011799,2.499544,-0.56966,-0.057943,202662.0
random_top30_seed,Random Top30 seed 202663,1,0.011799,2.499544,-0.56966,-0.057943,202663.0
random_top30_seed,Random Top30 seed 202664,1,0.011799,2.499544,-0.56966,-0.057943,202664.0
random_top30_seed,Random Top30 seed 202665,1,0.011799,2.499544,-0.56966,-0.057943,202665.0
random_top30_seed,Random Top30 seed 202666,1,0.011799,2.499544,-0.56966,-0.057943,202666.0
random_top30_seed,Random Top30 seed 202667,1,0.011799,2.499544,-0.56966,-0.057943,202667.0
random_top30_seed,Random Top30 seed 202668,1,0.011799,2.499544,-0.56966,-0.057943,202668.0
random_top30_seed,Random Top30 seed 202669,1,0.011799,2.499544,-0.56966,-0.057943,202669.0
random_top30_seed,Random Top30 seed 202670,1,0.011799,2.499544,-0.56966,-0.057943,202670.0
random_top30_seed,Random Top30 seed 202671,1,0.011799,2.499544,-0.56966,-0.057943,202671.0
random_top30_seed,Random Top30 seed 202672,1,0.011799,2.499544,-0.56966,-0.057943,202672.0
random_top30_seed,Random Top30 seed 202673,1,0.011799,2.499544,-0.56966,-0.057943,202673.0
random_top30_seed,Random Top30 seed 202674,1,0.011799,2.499544,-0.56966,-0.057943,202674.0
random_top30_seed,Random Top30 seed 202675,1,0.011799,2.499544,-0.56966,-0.057943,202675.0
random_top30_seed,Random Top30 seed 202676,1,0.011799,2.499544,-0.56966,-0.057943,202676.0
random_top30_seed,Random Top30 seed 202677,1,0.011799,2.499544,-0.56966,-0.057943,202677.0
random_top30_seed,Random Top30 seed 202678,1,0.011799,2.499544,-0.56966,-0.057943,202678.0
random_top30_seed,Random Top30 seed 202679,1,0.011799,2.499544,-0.56966,-0.057943,202679.0
random_top30_seed,Random Top30 seed 202680,1,0.011799,2.499544,-0.56966,-0.057943,202680.0
random_top30_seed,Random Top30 seed 202681,1,0.011799,2.499544,-0.56966,-0.057943,202681.0
random_top30_seed,Random Top30 seed 202682,1,0.011799,2.499544,-0.56966,-0.057943,202682.0
random_top30_seed,Random Top30 seed 202683,1,0.011799,2.499544,-0.56966,-0.057943,202683.0
random_top30_seed,Random Top30 seed 202684,1,0.011799,2.499544,-0.56966,-0.057943,202684.0
random_top30_seed,Random Top30 seed 202685,1,0.011799,2.499544,-0.56966,-0.057943,202685.0
random_top30_seed,Random Top30 seed 202686,1,0.011799,2.499544,-0.56966,-0.057943,202686.0
random_top30_seed,Random Top30 seed 202687,1,0.011799,2.499544,-0.56966,-0.057943,202687.0
random_top30_seed,Random Top30 seed 202688,1,0.011799,2.499544,-0.56966,-0.057943,202688.0
random_top30_seed,Random Top30 seed 202689,1,0.011799,2.499544,-0.56966,-0.057943,202689.0
random_top30_seed,Random Top30 seed 202690,1,0.011799,2.499544,-0.56966,-0.057943,202690.0
random_top30_seed,Random Top30 seed 202691,1,0.011799,2.499544,-0.56966,-0.057943,202691.0
random_top30_seed,Random Top30 seed 202692,1,0.011799,2.499544,-0.56966,-0.057943,202692.0
random_top30_seed,Random Top30 seed 202693,1,0.011799,2.499544,-0.56966,-0.057943,202693.0
random_top30_seed,Random Top30 seed 202694,1,0.011799,2.499544,-0.56966,-0.057943,202694.0
random_top30_seed,Random Top30 seed 202695,1,0.011799,2.499544,-0.56966,-0.057943,202695.0
random_top30_seed,Random Top30 seed 202696,1,0.011799,2.499544,-0.56966,-0.057943,202696.0
random_top30_seed,Random Top30 seed 202697,1,0.011799,2.499544,-0.56966,-0.057943,202697.0
random_top30_seed,Random Top30 seed 202698,1,0.011799,2.499544,-0.56966,-0.057943,202698.0
random_top30_seed,Random Top30 seed 202699,1,0.011799,2.499544,-0.56966,-0.057943,202699.0
